address	eligibility	eligibility_notes	hours	latitude	longitude	organization_name	program_name	services	email	phone_number	website	monday_meals	tuesday_meals	tuesday_meals	wednesday_meals	thursday_meals	friday_meals	saturday_meals	sunday_meals
Osgoode Hall Cafeteria, 130 Queen St W Toronto ON M5H 2N6	mixed adult		Tue dinner 5-6 pm; Wed dinner 5-6 pm; Thu breakfast 6:45-7:30 am; Sun breakfast 10-11 am	43.652189	-79.385142	Law Society Foundation, Osgoode Hall Cafeteria.	Lawyers Feed the Hungry Program		lsf@lsuc.on.ca	416-947-3412	www.lawyersfeedthehungry.ca		dinner	dinner	dinner	breakfast			breakfast
624 Annette St Toronto On M6S 2C4	mixed adult		Thu breakfast 10 am, dinner 7 pm	43.659746	-79.482171	Church of the Nazarene	Sharing Place			416-762-3322	www.gracecotn.com					breakfast,dinner			
Roncesvalles United Church, 214 Wright Ave Bsmt, Toronto ON M6R 1L3	mixed adult	open to all in need	Sun lunch 1-4 pm, dinner 5:30-6 pm	43.64556	-79.449171	Roncesvalles United Church	Roncesvalles United Church Sunday Lunch and Supper		roncesvallesuc@gmail.com	416-536-1755	roncesvallesunitedchurch.ca								lunch,dinner
867 College St Toronto ON M6H 1A1	mixed adult		Wed breakfast 9 am-1 pm	43.653881	-79.423852	Caribbean Canadian Catholic Centre	Caribbean Canadian Catholic Centre Soup Kitchen		olgc@rogers.com	416-534-1145					breakfast				
65 Church St Toronto ON M5C 2E9	mixed adult		Tue lunch 1:30 pm	43.650849	-79.374614	St. James Cathedral	St James Cathedral Tuesday Drop-in		info@stjamescathedral.on.ca	416-364-7865 x 222	www.stjamescathedral.on.ca		lunch	lunch					
416 Dundas St E Toronto ON M5A 2A8	women	16+ coping with isolation, addiction and/or mental health issues	Mon-Sun breakfast 8:30-10 am, lunch 12-2 pm	43.659343	-79.36708	416 Community Support for Women	416 Community Support for Women		alex.b@416community.com	416-928-3334	www.416community.com	breakfast,lunch	breakfast,lunch	breakfast,lunch	breakfast,lunch	breakfast,lunch	breakfast,lunch	breakfast,lunch	breakfast,lunch
67 Adelaide St E Toronto ON M5C 1K6	women		Mon-Fri lunch 12 pm	43.650986	-79.375299	Shelter, Support and Housing Administration	Adelaide Resource Centre for Women			416-392-9243		lunch	lunch	lunch	lunch	lunch	lunch		
4155 Sheppard Ave E Ste 100 Toronto ON M1S 1T4	mixed adult		"Mon, Tue, Thu-Sun breakfast 9-10:30 am, lunch 11:30 am-1 pm
Snack: 2:00 pm"	43.784559	-79.280908	Agincourt Community Services Association (ACSA)	Agincourt Community Services Association (ACSA)		info@agincourtcommunityservices.com	416-321-6912	www.agincourtcommunityservices.com	breakfast,lunch	breakfast,lunch	breakfast,lunch		breakfast,lunch	breakfast,lunch	breakfast,lunch	breakfast,lunch
Our Lady of Lourdes Church, 41 Earl St Toronto ON M4Y 1M4	mixed adult		Mon breakfast 8:30-10 am; Wed dinner 5:30-7:30 pm	43.668576	-79.375509	Canadian Red Cross	Street Relief Meal Program (downtown)			416-480-2500	www.redcross.ca	breakfast			dinner				
202 Markham Rd Toronto ON M1J 3C2	mixed adult		Mon, Wed, Fri breakfast 10-11:30 am, lunch 12-1:30 pm: Tue & Thu breakfast 10-11:30 am, lunch 12-1:30 pm, dinner 5-7 pm	43.743791	-79.219686	Canadian Red Cross, Toronto Branch	Canadian Red Cross Scarborough Drop-In Centre			416-267-0115	www.redcross.ca	breakfast,lunch	breakfast,lunch,dinner	breakfast,lunch,dinner	breakfast,lunch	breakfast,lunch,dinner	breakfast,lunch		
